year,total FTF,Female,Male,AHANA
1997,262,70,192,13
1998,269,74,185,12
1999,278,87,191,13
2000,284,84,200,15
2001,284,90,194,15
2002,291,92,199,19
2003,305,92,213,21
2004,307,91,216,20
2005,309,98,211,22
2006,313,98,213,23
2007,322,104,218,23
2008,320,104,216,28
2009,326,111,215,32
2010,319,108,211,32
2011,312,110,202,31
2012,302,105,197,30
2013,291,103,188,24
2014,275,96,179,27
2015,262,94,168,27
2016,252,91,161,25
2017,246,84,162,24
2018,232,84,148,22
2019,224,83,141,21
